time,series,value,projected
2024-01-01,Series A,10.0,0
2024-01-01,Series B,20.0,0
2024-02-01,Series A,11.1,0
2024-02-01,Series B,20.5,0
2024-03-01,Series A,12.2,0
2024-03-01,Series B,21.0,0
2024-04-01,Series A,13.3,0
2024-04-01,Series B,21.5,0
2024-05-01,Series A,14.4,1
2024-05-01,Series B,22.0,1
2024-06-01,Series A,15.5,1
2024-06-01,Series B,22.5,1
2024-07-01,Series A,16.6,0
2024-07-01,Series B,23.0,0
2024-08-01,Series A,17.7,0
2024-08-01,Series B,23.5,0
2024-09-01,Series A,18.8,0
2024-09-01,Series B,24.0,0
2024-10-01,Series A,19.9,0
2024-10-01,Series B,24.5,0
2024-11-01,Series A,21.0,1
2024-11-01,Series B,25.0,1
2024-12-01,Series A,22.1,1
2024-12-01,Series B,25.5,1
